review_body,stars
"Normal, ni bien ni mal.",3
"Muy mala calidad, no lo recomiendo.",1
No funciona correctamente.,1
Estoy muy satisfecho con la compra.,5
Nada fuera de lo normal.,3
Todo correcto y rápido.,5
No es lo que esperaba.,1
Excelente calidad y muy buen precio.,5
No es lo que esperaba.,1
Nada fuera de lo normal.,3
"Muy mala calidad, no lo recomiendo.",1
Excelente calidad y muy buen precio.,5
"Normal, ni bien ni mal.",3
Todo correcto y rápido.,5
Estoy muy satisfecho con la compra.,5
Producto recomendable 100%.,5
"Normal, ni bien ni mal.",3
Aceptable.,3
Está bien por el precio.,3
Excelente calidad y muy buen precio.,5
No funciona correctamente.,1
Aceptable.,3
Cumple con lo básico.,3
Está bien por el precio.,3
Todo correcto y rápido.,5
"Muy mala calidad, no lo recomiendo.",1
Excelente calidad y muy buen precio.,5
Estoy muy satisfecho con la compra.,5
Todo correcto y rápido.,5
No es lo que esperaba.,1
No funciona correctamente.,1
Excelente calidad y muy buen precio.,5
"Normal, ni bien ni mal.",3
"Muy mala calidad, no lo recomiendo.",1
Cumple con lo básico.,3
No funciona correctamente.,1
Nada fuera de lo normal.,3
Producto recomendable 100%.,5
El producto llegó dañado.,1
Cumple con lo básico.,3
El producto llegó dañado.,1
Pésimo servicio.,1
Nada fuera de lo normal.,3
Estoy muy satisfecho con la compra.,5
Aceptable.,3
"Normal, ni bien ni mal.",3
Nada fuera de lo normal.,3
Aceptable.,3
Pésimo servicio.,1
Aceptable.,3
El producto llegó dañado.,1
Excelente calidad y muy buen precio.,5
Todo correcto y rápido.,5
"Normal, ni bien ni mal.",3
Todo correcto y rápido.,5
El producto llegó dañado.,1
"Normal, ni bien ni mal.",3
Aceptable.,3
Estoy muy satisfecho con la compra.,5
Todo correcto y rápido.,5
"Muy mala calidad, no lo recomiendo.",1
"Muy buen producto, llegó a tiempo y funciona perfectamente.",5
Cumple con lo básico.,3
Nada fuera de lo normal.,3
No es lo que esperaba.,1
Producto recomendable 100%.,5
Nada fuera de lo normal.,3
Producto recomendable 100%.,5
Producto recomendable 100%.,5
